Feedback_ID,Transaccion_ID,Rating_Producto,Rating_Logistica,Comentario_Texto,Recomienda_Marca,Ticket_Soporte_Abierto,Edad_Cliente,Satisfaccion_NPS,Feedback_ID_Original
FB-8119,TRX-12755,3.0,1.0,Dañado,Maybe,0,34,-62.5,FB-8119
FB-8120,TRX-14675,3.0,2.0,Lento,Maybe,0,19,10.8,FB-8120
FB-8121,TRX-12359,3.0,3.0,No volvería,,0,56,-59.5,FB-8121
FB-8122,TRX-12992,3.0,5.0,Precio justo,Sí,1,67,58.9,FB-8122
FB-8123,TRX-14187,3.0,2.0,,,0,68,-26.5,FB-8123
FB-8124,TRX-11468,1.0,4.0,Dañado,No,0,48,-15.1,FB-8124
FB-8125,TRX-12526,5.0,3.0,,No,0,42,28.1,FB-8125
FB-8126,TRX-15026,2.0,5.0,,,1,74,-82.8,FB-8126
FB-8127,TRX-16672,4.0,5.0,,No,0,45,-37.0,FB-8127
FB-8128,TRX-12772,4.0,1.0,Excelente,Sí,1,62,86.7,FB-8128
FB-8129,TRX-10965,2.0,1.0,Dañado,Sí,0,43,72.4,FB-8129
FB-8130,TRX-15329,1.0,2.0,Dañado,Maybe,0,46,-53.8,FB-8130
FB-8131,TRX-12973,2.0,2.0,,No,0,72,2.6,FB-8131
FB-8132,TRX-10445,3.0,4.0,No volvería,Sí,0,57,16.7,FB-8132
FB-8133,TRX-10958,5.0,5.0,Precio justo,Sí,0,22,-39.7,FB-8133
FB-8134,TRX-14882,2.0,3.0,Lento,No,0,75,-30.5,FB-8134
FB-8135,TRX-16388,1.0,4.0,Precio justo,,1,78,95.6,FB-8135
FB-8136,TRX-11617,3.0,4.0,Lento,Sí,0,39,-72.3,FB-8136
FB-8137,TRX-15243,2.0,4.0,,Maybe,1,54,82.3,FB-8137
FB-8138,TRX-12334,2.0,3.0,,No,0,48,-29.2,FB-8138
FB-8139,TRX-16763,3.0,4.0,Excelente,Maybe,1,31,-52.2,FB-8139
FB-8140,TRX-15311,1.0,1.0,,Sí,0,51,-47.9,FB-8140
FB-8141,TRX-14225,5.0,1.0,,Sí,0,70,-43.3,FB-8141
FB-8142,TRX-16152,5.0,1.0,No volvería,Sí,0,38,-42.6,FB-8142
FB-8143,TRX-11981,3.0,4.0,Dañado,No,1,54,-49.2,FB-8143
FB-8144,TRX-10849,4.0,4.0,,Sí,1,41,68.5,FB-8144
FB-8145,TRX-13318,1.0,5.0,Precio justo,,0,81,-46.4,FB-8145
FB-8146,TRX-13925,4.0,2.0,Precio justo,No,0,34,72.4,FB-8146
FB-8147,TRX-19781,4.0,5.0,Lento,,1,63,93.9,FB-8147
FB-8148,TRX-19601,4.0,1.0,,Sí,0,48,-44.2,FB-8148
FB-8149,TRX-13874,1.0,2.0,Precio justo,Maybe,0,67,13.0,FB-8149
FB-8150,TRX-18076,3.0,5.0,,Maybe,0,67,-8.8,FB-8150
FB-8151,TRX-18333,4.0,3.0,Dañado,No,1,60,69.3,FB-8151
FB-8152,TRX-18264,3.0,3.0,Lento,Sí,0,34,-38.3,FB-8152
FB-8153,TRX-16308,2.0,3.0,Dañado,No,0,36,53.0,FB-8153
FB-8154,TRX-11885,3.0,1.0,,Sí,0,67,-4.9,FB-8154
FB-8155,TRX-14412,2.0,2.0,,,0,79,26.2,FB-8155
FB-8156,TRX-10993,5.0,1.0,Lento,,0,44,15.3,FB-8156
FB-8157,TRX-15215,4.0,3.0,Dañado,No,0,57,-87.5,FB-8157
FB-8158,TRX-17615,5.0,4.0,Lento,,0,54,17.7,FB-8158
FB-8159,TRX-19062,5.0,1.0,No volvería,Maybe,0,33,65.5,FB-8159
FB-8160,TRX-16669,1.0,2.0,Precio justo,No,0,43,-42.3,FB-8160
FB-8161,TRX-11072,4.0,1.0,Dañado,,1,76,-19.5,FB-8161
FB-8162,TRX-17932,5.0,2.0,,Sí,1,82,-59.0,FB-8162
FB-8163,TRX-10473,2.0,4.0,Excelente,No,0,50,-58.1,FB-8163
FB-8164,TRX-16676,2.0,5.0,,Maybe,0,51,-38.6,FB-8164
FB-8165,TRX-13829,1.0,2.0,No volvería,Sí,0,77,50.7,FB-8165
FB-8166,TRX-10305,5.0,2.0,No volvería,Maybe,0,68,-3.7,FB-8166
FB-8167,TRX-14409,5.0,3.0,,Sí,1,81,38.2,FB-8167
FB-8168,TRX-19077,5.0,3.0,Dañado,Sí,0,38,87.1,FB-8168
FB-8169,TRX-19603,1.0,4.0,Dañado,Maybe,1,24,46.1,FB-8169
FB-8170,TRX-11663,4.0,1.0,,Sí,1,82,-25.4,FB-8170
FB-8171,TRX-14035,5.0,5.0,Excelente,No,1,82,2.1,FB-8171
FB-8172,TRX-19088,5.0,5.0,,,0,81,-44.3,FB-8172
FB-8173,TRX-12057,3.0,4.0,Dañado,Sí,0,35,-86.9,FB-8173
FB-8174,TRX-14990,2.0,5.0,,No,1,78,33.2,FB-8174
FB-8175,TRX-19310,4.0,1.0,Excelente,Sí,0,33,32.4,FB-8175
FB-8176,TRX-16664,4.0,3.0,Dañado,Maybe,1,82,71.2,FB-8176
FB-8177,TRX-17306,4.0,4.0,Excelente,No,1,78,-68.1,FB-8177
FB-8178,TRX-11374,5.0,5.0,Lento,Sí,1,81,76.9,FB-8178
FB-8179,TRX-18199,3.0,4.0,Precio justo,Maybe,1,47,58.9,FB-8179
FB-8180,TRX-13333,4.0,4.0,Precio justo,Sí,0,27,-78.5,FB-8180
FB-8181,TRX-12332,1.0,2.0,Dañado,No,1,46,96.5,FB-8181
FB-8182,TRX-16116,1.0,2.0,Dañado,No,0,39,-92.2,FB-8182
FB-8183,TRX-18854,2.0,4.0,,,0,31,59.0,FB-8183
FB-8184,TRX-12755,3.0,2.0,Precio justo,Sí,1,23,-14.3,FB-8184
FB-8185,TRX-14016,4.0,5.0,,No,0,61,73.1,FB-8185
FB-8186,TRX-18806,3.0,4.0,Precio justo,Maybe,1,80,45.7,FB-8186
FB-8187,TRX-16942,1.0,2.0,Excelente,No,1,67,-87.9,FB-8187
FB-8188,TRX-19095,4.0,5.0,Excelente,Sí,1,78,-52.0,FB-8188
FB-8189,TRX-17401,5.0,3.0,Lento,No,0,37,90.5,FB-8189
FB-8190,TRX-10684,1.0,3.0,,No,1,83,-70.6,FB-8190
FB-8191,TRX-10016,2.0,4.0,Lento,,1,32,-86.3,FB-8191
FB-8192,TRX-17612,4.0,1.0,Excelente,No,1,55,-69.1,FB-8192
FB-8193,TRX-14739,2.0,5.0,Lento,Sí,1,22,44.1,FB-8193
FB-8194,TRX-12742,3.0,4.0,No volvería,Sí,1,32,-92.1,FB-8194
FB-8195,TRX-10008,2.0,2.0,,No,0,28,-13.4,FB-8195
FB-8196,TRX-10985,2.0,3.0,,No,0,68,-81.7,FB-8196
FB-8197,TRX-17900,5.0,2.0,,No,0,50,37.4,FB-8197
FB-8198,TRX-14477,2.0,5.0,Excelente,Maybe,1,53,-49.4,FB-8198
FB-8199,TRX-19795,5.0,4.0,Lento,Sí,0,58,36.9,FB-8199
FB-8200,TRX-14110,2.0,3.0,Lento,Sí,1,50,-64.9,FB-8200
FB-8201,TRX-16228,5.0,5.0,Dañado,Sí,0,52,-20.8,FB-8201
FB-8202,TRX-15757,1.0,3.0,Dañado,Sí,0,74,85.1,FB-8202
FB-8203,TRX-13485,5.0,3.0,Dañado,Maybe,0,81,-23.2,FB-8203
FB-8204,TRX-19587,1.0,4.0,Precio justo,Sí,0,50,-77.2,FB-8204
FB-8205,TRX-18361,1.0,4.0,,,1,50,-26.0,FB-8205
FB-8206,TRX-14609,4.0,1.0,Precio justo,No,0,35,-9.1,FB-8206
FB-8207,TRX-10745,1.0,1.0,Precio justo,Sí,1,28,-8.3,FB-8207
FB-8208,TRX-12644,4.0,1.0,Excelente,No,0,79,41.8,FB-8208
FB-8209,TRX-18750,5.0,1.0,Dañado,Sí,0,64,-75.1,FB-8209
FB-8210,TRX-19225,3.0,2.0,Dañado,Maybe,1,78,-7.7,FB-8210
FB-8211,TRX-11145,4.0,1.0,Excelente,Maybe,0,73,-49.2,FB-8211
FB-8212,TRX-14925,3.0,2.0,Precio justo,,1,41,-11.1,FB-8212
FB-8213,TRX-11469,5.0,3.0,,Maybe,0,82,-65.4,FB-8213
FB-8214,TRX-16476,4.0,2.0,Lento,Maybe,1,23,-52.9,FB-8214
FB-8215,TRX-12014,5.0,3.0,No volvería,Maybe,1,43,10.6,FB-8215
FB-8216,TRX-12288,3.0,1.0,Dañado,Sí,0,82,-39.7,FB-8216
FB-8217,TRX-19117,5.0,2.0,Precio justo,No,0,71,-68.1,FB-8217
FB-8218,TRX-14578,3.0,3.0,Lento,,0,79,23.9,FB-8218
FB-8219,TRX-17077,1.0,1.0,Dañado,No,0,29,67.3,FB-8219
FB-8220,TRX-13454,3.0,3.0,Dañado,,1,41,64.3,FB-8220
FB-8221,TRX-18270,3.0,4.0,No volvería,,0,56,66.8,FB-8221
FB-8222,TRX-15215,1.0,3.0,Precio justo,Sí,1,39,-96.6,FB-8222
FB-8223,TRX-15613,4.0,1.0,,No,1,65,37.2,FB-8223
FB-8224,TRX-14282,2.0,5.0,Excelente,No,1,21,99.8,FB-8224
FB-8225,TRX-17417,4.0,4.0,Lento,No,1,46,45.3,FB-8225
FB-8226,TRX-14473,2.0,2.0,,,1,23,-46.8,FB-8226
FB-8227,TRX-14029,1.0,4.0,,,0,64,12.8,FB-8227
FB-8228,TRX-15269,4.0,1.0,Lento,,1,72,-4.4,FB-8228
FB-8229,TRX-15597,5.0,3.0,Precio justo,Sí,1,72,-8.2,FB-8229
FB-8230,TRX-13450,5.0,5.0,Lento,,0,66,44.5,FB-8230
FB-8231,TRX-17533,4.0,1.0,,Sí,0,42,-74.6,FB-8231
FB-8232,TRX-19822,5.0,3.0,,No,1,62,-76.1,FB-8232
FB-8233,TRX-15381,1.0,1.0,Excelente,Sí,0,25,1.3,FB-8233
FB-8234,TRX-10260,5.0,5.0,,Maybe,0,28,94.8,FB-8234
FB-8235,TRX-12190,5.0,3.0,,Maybe,0,18,-87.7,FB-8235
FB-8236,TRX-10033,2.0,5.0,Lento,No,1,45,-25.9,FB-8236
FB-8237,TRX-19974,2.0,3.0,Precio justo,Maybe,0,26,1.8,FB-8237
FB-8238,TRX-17807,3.0,4.0,Excelente,,1,66,-99.7,FB-8238
FB-8239,TRX-10070,1.0,1.0,No volvería,Maybe,0,83,-41.1,FB-8239
FB-8240,TRX-10156,5.0,2.0,,Sí,1,39,-77.8,FB-8240
FB-8241,TRX-12843,1.0,2.0,Precio justo,,1,56,41.1,FB-8241
FB-8242,TRX-16769,1.0,1.0,,Maybe,1,40,-12.2,FB-8242
FB-8243,TRX-19106,2.0,2.0,No volvería,No,1,78,24.5,FB-8243
FB-8244,TRX-18011,5.0,5.0,Lento,Maybe,1,84,20.5,FB-8244
FB-8245,TRX-16435,3.0,2.0,,,1,60,-28.4,FB-8245
FB-8246,TRX-18816,4.0,1.0,Excelente,Maybe,1,62,-92.9,FB-8246
FB-8247,TRX-11329,3.0,4.0,,Maybe,0,58,-46.5,FB-8247
FB-8248,TRX-11270,2.0,1.0,Lento,Sí,1,36,-3.8,FB-8248
FB-8249,TRX-18825,3.0,1.0,Precio justo,Sí,1,61,-59.5,FB-8249
FB-8250,TRX-10507,2.0,3.0,No volvería,Sí,0,43,87.5,FB-8250
FB-8251,TRX-17293,2.0,2.0,No volvería,Maybe,0,33,-17.3,FB-8251
FB-8252,TRX-12022,1.0,2.0,Lento,Sí,1,39,-29.6,FB-8252
FB-8253,TRX-15783,5.0,3.0,Precio justo,Sí,0,23,-78.5,FB-8253
FB-8254,TRX-16166,4.0,5.0,,Sí,0,54,-44.8,FB-8254
FB-8255,TRX-19851,2.0,5.0,,No,1,41,15.7,FB-8255
FB-8256,TRX-15864,2.0,3.0,Lento,,0,57,63.9,FB-8256
FB-8257,TRX-16336,1.0,2.0,,No,0,27,54.7,FB-8257
FB-8258,TRX-12903,4.0,5.0,Dañado,Maybe,1,48,37.0,FB-8258
FB-8259,TRX-10138,2.0,5.0,Precio justo,Maybe,0,68,86.5,FB-8259
FB-8260,TRX-12044,5.0,4.0,Precio justo,Sí,1,71,-51.4,FB-8260
FB-8261,TRX-17580,5.0,5.0,Excelente,,1,70,-53.1,FB-8261
FB-8262,TRX-16069,1.0,2.0,Dañado,No,1,37,-90.7,FB-8262
FB-8263,TRX-13161,2.0,4.0,,,0,48,40.7,FB-8263
FB-8264,TRX-17283,4.0,4.0,No volvería,Maybe,0,33,60.2,FB-8264
FB-8265,TRX-10153,1.0,2.0,Lento,Maybe,0,60,-48.1,FB-8265
FB-8266,TRX-13629,1.0,3.0,No volvería,Sí,1,28,58.1,FB-8266
FB-8267,TRX-10324,3.0,1.0,Precio justo,No,0,65,41.8,FB-8267
FB-8268,TRX-14606,1.0,5.0,,No,0,57,8.2,FB-8268
FB-8269,TRX-15862,3.0,3.0,Lento,,0,36,10.7,FB-8269
FB-8270,TRX-13137,3.0,1.0,,,0,82,41.0,FB-8270
FB-8271,TRX-11474,2.0,2.0,No volvería,Maybe,0,75,99.6,FB-8271
FB-8272,TRX-14967,5.0,5.0,Lento,Sí,0,44,-36.2,FB-8272
FB-8273,TRX-13623,4.0,3.0,No volvería,Maybe,0,58,-85.5,FB-8273
FB-8274,TRX-13838,1.0,1.0,Lento,,0,31,39.9,FB-8274
FB-8275,TRX-18090,2.0,2.0,No volvería,Sí,0,52,-94.2,FB-8275
FB-8276,TRX-15947,4.0,4.0,No volvería,,1,19,79.0,FB-8276
FB-8277,TRX-10602,1.0,4.0,Lento,No,1,30,94.5,FB-8277
FB-8278,TRX-14599,5.0,4.0,Excelente,,0,53,45.3,FB-8278
FB-8279,TRX-18074,5.0,2.0,Lento,Maybe,0,59,-31.4,FB-8279
FB-8280,TRX-19929,3.0,1.0,,Sí,1,41,-54.9,FB-8280
FB-8281,TRX-13425,3.0,2.0,No volvería,Sí,1,32,-78.0,FB-8281
FB-8282,TRX-10116,4.0,4.0,Dañado,Sí,0,24,-98.8,FB-8282
FB-8283,TRX-13212,1.0,2.0,Precio justo,Maybe,0,20,-13.9,FB-8283
FB-8284,TRX-16489,3.0,5.0,Excelente,Maybe,0,37,29.4,FB-8284
FB-8285,TRX-11817,2.0,1.0,,Maybe,1,60,-24.7,FB-8285
FB-8286,TRX-14544,3.0,5.0,Lento,No,0,43,-12.4,FB-8286
FB-8287,TRX-19324,4.0,4.0,Precio justo,Sí,1,62,37.0,FB-8287
FB-8288,TRX-18197,2.0,1.0,,Sí,0,45,-18.2,FB-8288
FB-8289,TRX-18093,5.0,5.0,Excelente,Sí,1,62,54.7,FB-8289
FB-8290,TRX-12793,2.0,2.0,Dañado,Sí,1,77,28.5,FB-8290
FB-8291,TRX-19040,4.0,3.0,,No,1,57,34.3,FB-8291
FB-8292,TRX-13174,5.0,2.0,Precio justo,Sí,1,26,23.9,FB-8292
FB-8293,TRX-19268,1.0,4.0,,No,1,57,-76.1,FB-8293
FB-8294,TRX-19879,4.0,3.0,Lento,,1,31,36.8,FB-8294
FB-8295,TRX-19259,3.0,1.0,Dañado,Maybe,0,27,18.4,FB-8295
FB-8296,TRX-12875,4.0,3.0,Lento,Maybe,1,65,14.9,FB-8296
FB-8297,TRX-11070,4.0,1.0,,Sí,1,32,19.7,FB-8297
FB-8298,TRX-19636,4.0,5.0,Precio justo,Maybe,0,62,97.4,FB-8298
FB-8299,TRX-12101,5.0,5.0,Lento,Sí,0,75,-12.8,FB-8299
FB-8300,TRX-11065,3.0,5.0,,No,1,36,-78.8,FB-8300
FB-8301,TRX-12087,4.0,5.0,Dañado,Maybe,0,65,2.6,FB-8301
FB-8302,TRX-14253,1.0,5.0,,Maybe,1,45,-70.0,FB-8302
FB-8303,TRX-19337,4.0,3.0,Dañado,No,1,61,61.3,FB-8303
FB-8304,TRX-13734,3.0,1.0,Precio justo,No,1,39,-50.1,FB-8304
FB-8305,TRX-18570,2.0,5.0,Precio justo,,1,57,99.1,FB-8305
FB-8306,TRX-14494,5.0,5.0,No volvería,No,1,61,-64.5,FB-8306
FB-8307,TRX-13143,3.0,1.0,Dañado,Sí,1,48,-24.4,FB-8307
FB-8308,TRX-10378,1.0,3.0,,Sí,1,22,-70.8,FB-8308
FB-8309,TRX-18731,4.0,5.0,No volvería,Maybe,1,46,-16.2,FB-8309
FB-8310,TRX-14143,5.0,3.0,Lento,Maybe,0,83,-3.2,FB-8310
FB-8311,TRX-19176,5.0,5.0,Precio justo,No,1,31,48.7,FB-8311
FB-8312,TRX-17437,5.0,3.0,,Sí,1,76,-99.7,FB-8312
FB-8313,TRX-10032,3.0,4.0,Excelente,No,1,70,-53.8,FB-8313
FB-8314,TRX-16997,2.0,5.0,,No,1,46,-46.0,FB-8314
FB-8315,TRX-10849,2.0,5.0,Lento,Sí,0,21,20.1,FB-8315
FB-8316,TRX-15292,1.0,2.0,No volvería,Maybe,0,49,-44.6,FB-8316
FB-8317,TRX-17086,3.0,2.0,Dañado,Maybe,1,66,-2.6,FB-8317
FB-8318,TRX-16666,3.0,3.0,Precio justo,Maybe,0,55,-2.4,FB-8318
FB-8319,TRX-14489,3.0,2.0,Precio justo,Maybe,0,46,62.1,FB-8319
FB-8320,TRX-11994,4.0,3.0,,,0,18,75.2,FB-8320
FB-8321,TRX-18491,3.0,5.0,,,0,20,95.4,FB-8321
FB-8322,TRX-17644,3.0,5.0,Lento,Maybe,1,59,68.2,FB-8322
FB-8323,TRX-18119,5.0,4.0,,Sí,0,49,75.6,FB-8323
FB-8324,TRX-15922,5.0,4.0,Lento,Sí,1,40,94.2,FB-8324
